POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,MOMENTUM_FILTER_ENABLED,MOMENTUM_LOOKBACK,MOMENTUM_MIN_PCT,DEATH_CROSS_CONFIRM,PROFIT_PROTECT_ENABLED,PROFIT_PROTECT_PCT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.95,0.35,0.2,0.2,3,85,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.3,0.2,3,85,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.95,0.35,0.2,0.3,3,85,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.3,0.2,3,95,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.95,0.35,0.3,0.2,3,95,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.95,0.35,0.3,0.2,3,90,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.3,0.2,3,90,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.95,0.35,0.3,0.2,3,85,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.95,0.35,0.2,0.2,3,90,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.2,0.2,3,85,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.2,0.2,3,90,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.2,0.2,3,95,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.2,0.3,3,90,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.9,0.35,0.2,0.3,3,85,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.95,0.35,0.2,0.3,3,95,True,5,-0.15,1,False,0.05,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
0.85,0.4,0.15,0.3,5,95,True,5,-0.15,1,False,0.05,0.5807542968445998,0.23660391408768122,-0.1268500544541616,1.028170210233818,169,0.5274725274725275,1580754.2968445998
0.85,0.4,0.15,0.3,5,85,True,5,-0.15,1,False,0.05,0.5807542968445998,0.23660391408768122,-0.1268500544541616,1.028170210233818,169,0.5274725274725275,1580754.2968445998
0.85,0.4,0.15,0.3,5,90,True,5,-0.15,1,False,0.05,0.5807542968445998,0.23660391408768122,-0.1268500544541616,1.028170210233818,169,0.5274725274725275,1580754.2968445998
