MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
10,20,0,0.7,0.35,0.1,0.15,0.3,False,0.44456135151299925,0.1859964834689758,-0.12563841562108977,0.8700292733425369,204,0.4818181818181818,1444561.3515129993
10,30,0,0.9,0.35,0.2,0.25,0.5,True,0.4427752183803993,0.18531614754245718,-0.10912747438638035,0.8935576208032101,220,0.7397260273972602,1442775.2183803993
10,30,0,0.9,0.35,0.2,0.25,0.3,True,0.4427752183803993,0.18531614754245718,-0.10912747438638035,0.8935576208032101,220,0.7397260273972602,1442775.2183803993
10,30,0,0.9,0.35,0.2,0.5,0.5,True,0.4427403233103992,0.18530285155646586,-0.10912747438638035,0.8934921696703813,220,0.7397260273972602,1442740.3233103992
10,30,0,0.9,0.35,0.2,0.5,0.3,True,0.4427403233103992,0.18530285155646586,-0.10912747438638035,0.8934921696703813,220,0.7397260273972602,1442740.3233103992
10,20,0,0.7,0.5,0.1,0.15,0.5,True,0.4424678830561999,0.18519903836151896,-0.10239377025307442,0.9381234006861655,272,0.6949152542372882,1442467.8830561999
10,20,0,0.7,0.5,0.1,0.15,0.3,True,0.4424678830561999,0.18519903836151896,-0.10239377025307442,0.9381234006861655,272,0.6949152542372882,1442467.8830561999
5,30,0,0.7,0.35,0.1,0.15,0.3,True,0.4417161248507996,0.18491252680639647,-0.1044097561993533,0.9765904494613799,275,0.7282608695652174,1441716.1248507996
5,30,0,0.7,0.35,0.1,0.15,0.5,True,0.4417161248507996,0.18491252680639647,-0.1044097561993533,0.9765904494613799,275,0.7282608695652174,1441716.1248507996
5,30,0,0.5,0.35,0.2,0.15,0.5,False,0.4406213785052006,0.18449515163387642,-0.13308517545480933,0.8573884779468768,172,0.5638297872340425,1440621.3785052006
5,30,0,0.5,0.35,0.2,0.15,0.3,False,0.4406213785052006,0.18449515163387642,-0.13308517545480933,0.8573884779468768,172,0.5638297872340425,1440621.3785052006
5,30,0,0.5,0.35,0.2,0.5,0.3,False,0.4401680516186,0.18432226967052467,-0.1324717697252926,0.8680620343566707,174,0.5625,1440168.0516186
5,30,0,0.5,0.35,0.2,0.5,0.5,False,0.4401680516186,0.18432226967052467,-0.1324717697252926,0.8680620343566707,174,0.5625,1440168.0516186
5,30,0,0.5,0.35,0.2,0.25,0.5,False,0.4401680516186,0.18432226967052467,-0.1324717697252926,0.8680620343566707,174,0.5625,1440168.0516186
5,30,0,0.5,0.35,0.2,0.25,0.3,False,0.4401680516186,0.18432226967052467,-0.1324717697252926,0.8680620343566707,174,0.5625,1440168.0516186
10,30,0,0.7,0.35,0.2,0.25,0.5,True,0.43990753123839993,0.18422290371270988,-0.10096854810809668,0.9319385295814613,237,0.7261146496815286,1439907.5312384
10,30,0,0.7,0.35,0.2,0.25,0.3,True,0.43990753123839993,0.18422290371270988,-0.10096854810809668,0.9319385295814613,237,0.7261146496815286,1439907.5312384
10,30,0,0.7,0.35,0.2,0.5,0.5,True,0.439087523941,0.18391007902029832,-0.10096854810809668,0.9305703059546362,237,0.7261146496815286,1439087.523941
10,30,0,0.7,0.35,0.2,0.5,0.3,True,0.439087523941,0.18391007902029832,-0.10096854810809668,0.9305703059546362,237,0.7261146496815286,1439087.523941
5,30,0,0.9,0.5,0.1,0.15,0.5,False,0.4389915933664006,0.18387347620843286,-0.2164121720618198,0.7193128457921241,125,0.5230769230769231,1438991.5933664006
5,30,0,0.9,0.5,0.1,0.15,0.3,False,0.4389915933664006,0.18387347620843286,-0.2164121720618198,0.7193128457921241,125,0.5230769230769231,1438991.5933664006
5,30,0,0.9,0.5,0.2,0.15,0.3,False,0.4389915933664006,0.18387347620843286,-0.2164121720618198,0.7193128457921241,125,0.5230769230769231,1438991.5933664006
5,30,0,0.9,0.5,0.2,0.15,0.5,False,0.4389915933664006,0.18387347620843286,-0.2164121720618198,0.7193128457921241,125,0.5230769230769231,1438991.5933664006
5,30,0,0.9,0.35,0.1,0.15,0.5,True,0.4333857789287998,0.18173227168318484,-0.10461864603841066,0.947055842728261,251,0.7134146341463414,1433385.7789287998
5,30,0,0.9,0.35,0.1,0.15,0.3,True,0.4333857789287998,0.18173227168318484,-0.10461864603841066,0.947055842728261,251,0.7134146341463414,1433385.7789287998
10,20,0,0.9,0.5,0.2,0.5,0.5,False,0.4316004033186005,0.1810493847029111,-0.1400783931061732,0.8163253727421524,154,0.5348837209302325,1431600.4033186005
10,20,0,0.9,0.5,0.2,0.25,0.3,False,0.4316004033186005,0.1810493847029111,-0.1400783931061732,0.8163253727421524,154,0.5348837209302325,1431600.4033186005
10,20,0,0.9,0.5,0.2,0.25,0.5,False,0.4316004033186005,0.1810493847029111,-0.1400783931061732,0.8163253727421524,154,0.5348837209302325,1431600.4033186005
10,20,0,0.9,0.5,0.2,0.5,0.3,False,0.4316004033186005,0.1810493847029111,-0.1400783931061732,0.8163253727421524,154,0.5348837209302325,1431600.4033186005
