total_return,annual_return,max_drawdown,sharpe,calmar,win_rate,trades,MA_TREND,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PROFIT_TARGET_1,PROFIT_TARGET_2,PROFIT_TARGET_3,RSI_OVERBOUGHT,MACD_SELL_RSI_MIN,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MA_FAST,MA_SLOW,POSITION_PCT,MAX_POSITION_PCT,MAX_TOTAL_POS_PCT,MIN_CASH_RESERVE
-21.633714235800085,-5.704017723059874,-31.643124105719426,-0.580319022878529,-0.18026089029650785,60.59602649006622,476,0,0.05,0.08,0.2,0.08,0.15,0.18,80,55,False,2,10,20,0.6,0.4,0.95,0.05
-21.643763329600006,-5.706931069922938,-31.540863819413595,-0.5523489330053984,-0.18093769094587342,57.509157509157504,443,0,0.05,0.1,0.25,0.08,0.15,0.18,85,55,False,5,10,20,0.6,0.4,0.95,0.05
-21.653308912260037,-5.709698705833876,-36.50077144500064,-0.5249981449437064,-0.15642679537437312,58.76288659793815,456,0,0.05,0.12,0.2,0.06,0.1,0.25,85,65,False,3,10,20,0.6,0.4,0.95,0.05
-21.673242544959976,-5.715479067198959,-37.36316040660832,-0.5544475733801884,-0.15297097475159188,63.06306306306306,503,0,0.05,0.1,0.25,0.06,0.1,0.25,80,65,False,3,10,20,0.6,0.4,0.95,0.05
-21.693131453340104,-5.721247572391497,-39.010885627690534,-0.5455936772735432,-0.14665772079602485,57.534246575342465,465,30,0.07,0.08,0.25,0.06,0.15,0.25,85,65,False,2,10,20,0.6,0.4,0.95,0.05
-21.69779627876007,-5.722600702058401,-33.86758256136902,-0.5038467518934348,-0.1689698605351854,54.655870445344135,405,0,0.07,0.12,0.15,0.08,0.1,0.22,90,75,False,5,10,20,0.6,0.4,0.95,0.05
-21.701206867320046,-5.723590052953531,-31.354257921647953,-0.5473248280499844,-0.18254586242341864,59.72696245733788,465,30,0.05,0.12,0.25,0.06,0.1,0.25,85,55,False,2,10,20,0.6,0.4,0.95,0.05
-21.704684011740074,-5.724598744192821,-37.574200841384716,-0.5347374114052356,-0.15235450431423878,55.762081784386616,437,30,0.07,0.08,0.25,0.06,0.15,0.18,90,65,False,5,10,20,0.6,0.4,0.95,0.05
-21.743880381940002,-5.735971644319626,-38.82735291690654,-0.5239518475871069,-0.14773017508031097,56.09756097560976,460,0,0.05,0.1,0.25,0.04,0.15,0.18,90,75,False,2,10,20,0.6,0.4,0.95,0.05
-21.749243630580022,-5.7375281372264,-37.27067996848838,-0.5411919446058336,-0.1539421374141112,62.98507462686567,508,0,0.07,0.12,0.25,0.06,0.12,0.18,80,65,False,2,10,20,0.6,0.4,0.95,0.05
-21.754881873400045,-5.73916452476727,-35.160486782295166,-0.5427314888255751,-0.16322767543870267,62.02898550724638,521,30,0.05,0.12,0.2,0.04,0.1,0.25,80,75,False,2,10,20,0.6,0.4,0.95,0.05
-21.765837895880104,-5.742344547772404,-37.75393051595523,-0.5432170126889471,-0.15209925084079987,54.96453900709219,455,30,0.05,0.08,0.15,0.08,0.1,0.22,85,75,False,2,10,20,0.6,0.4,0.95,0.05
-21.768298436859947,-5.743058774693255,-36.45415479713314,-0.5093189034294284,-0.15754195390493336,56.48854961832062,422,0,0.08,0.1,0.25,0.08,0.15,0.25,85,75,False,5,10,20,0.6,0.4,0.95,0.05
-21.769206939719922,-5.743322492229897,-35.79651251387585,-0.5392862509954965,-0.1604436323232216,61.33333333333333,465,0,0.08,0.1,0.2,0.08,0.15,0.25,80,65,False,5,10,20,0.6,0.4,0.95,0.05
-21.790547731460073,-5.749517903237688,-32.023039579589444,-0.5497614590169781,-0.17954316575564125,60.273972602739725,463,0,0.05,0.12,0.25,0.06,0.1,0.25,85,55,False,3,10,20,0.6,0.4,0.95,0.05
-21.825322232360065,-5.759615982503763,-37.239214953145435,-0.5437718569005624,-0.15466534377135877,58.88501742160279,454,0,0.05,0.08,0.25,0.06,0.15,0.18,85,75,False,5,10,20,0.6,0.4,0.95,0.05
-21.82810036838001,-5.760422865460269,-35.62108953222271,-0.5550279589964149,-0.16171383135963346,62.079510703363916,499,0,0.07,0.1,0.2,0.08,0.1,0.18,80,65,False,3,10,20,0.6,0.4,0.95,0.05
-21.85621673022006,-5.768590218190961,-32.480646926079146,-0.5661055524581451,-0.1776008412430752,56.457564575645755,445,0,0.05,0.08,0.25,0.08,0.15,0.22,85,55,False,3,10,20,0.6,0.4,0.95,0.05
-21.877958377900008,-5.774907348069891,-31.875775904687266,-0.5654670677813715,-0.18116915382193735,60.13513513513513,468,30,0.05,0.12,0.15,0.04,0.15,0.25,85,55,False,2,10,20,0.6,0.4,0.95,0.05
-21.90120995294006,-5.781664670809361,-36.023884390787444,-0.5197309983590713,-0.1604953149441023,58.36177474402731,462,0,0.08,0.12,0.2,0.06,0.12,0.18,85,65,False,2,10,20,0.6,0.4,0.95,0.05
-21.909896618720087,-5.784189562770203,-31.594991920978106,-0.5477022024508792,-0.18307298755565368,58.422939068100355,450,30,0.05,0.12,0.25,0.08,0.12,0.18,85,55,False,5,10,20,0.6,0.4,0.95,0.05
-21.91183548542004,-5.784753148601562,-32.535052397986846,-0.5650142164113422,-0.17780064030139697,57.35294117647059,445,30,0.05,0.08,0.25,0.08,0.15,0.22,85,55,False,5,10,20,0.6,0.4,0.95,0.05
-21.93504187506002,-5.791499559326596,-37.76454239516181,-0.5453853512982862,-0.15335812886927955,61.890243902439025,499,0,0.07,0.1,0.2,0.04,0.15,0.22,80,65,False,3,10,20,0.6,0.4,0.95,0.05
-21.951995304399986,-5.796429112455681,-36.76322440306612,-0.5184542394963798,-0.15766922533520342,57.74647887323944,453,30,0.07,0.12,0.25,0.08,0.1,0.22,85,75,False,2,10,20,0.6,0.4,0.95,0.05
-21.95540633840002,-5.797421037931894,-35.477908201884745,-0.5587799441339254,-0.16340932517616438,58.36177474402731,460,0,0.05,0.12,0.15,0.04,0.12,0.22,85,65,False,5,10,20,0.6,0.4,0.95,0.05
-22.00911138450011,-5.813042754387531,-32.561016298862526,-0.544710354401667,-0.17852768172320843,54.54545454545454,438,30,0.05,0.12,0.25,0.06,0.15,0.18,90,55,False,2,10,20,0.6,0.4,0.95,0.05
-22.010318520539997,-5.813393979772785,-38.236376188598456,-0.5587905167163859,-0.15203830904630172,61.19402985074627,512,30,0.07,0.08,0.25,0.04,0.15,0.25,80,75,False,2,10,20,0.6,0.4,0.95,0.05
-22.01063903670014,-5.813487237073545,-36.67342495975923,-0.5331061981110798,-0.15852043389600312,55.71955719557196,438,0,0.08,0.1,0.2,0.06,0.1,0.22,90,65,False,3,10,20,0.6,0.4,0.95,0.05
-22.021208555839955,-5.8165627046789625,-37.31414718435634,-0.5611165638090392,-0.15588089621722645,62.96296296296296,492,0,0.07,0.1,0.25,0.06,0.12,0.25,80,65,False,3,10,20,0.6,0.4,0.95,0.05
-22.02671711638003,-5.818165684439802,-36.20878693390038,-0.5432433357269038,-0.16068380570332116,61.63522012578616,488,30,0.08,0.12,0.2,0.08,0.12,0.22,80,65,False,3,10,20,0.6,0.4,0.95,0.05
-22.05021218414003,-5.825003666102013,-33.944664823706475,-0.5323315678858418,-0.17160292188343873,57.34767025089605,445,0,0.08,0.12,0.15,0.04,0.1,0.22,90,65,False,5,10,20,0.6,0.4,0.95,0.05
-22.052740765020076,-5.825739675064579,-36.661975610099304,-0.5321522831834308,-0.15890413918282564,56.41891891891891,473,30,0.07,0.12,0.2,0.04,0.1,0.18,90,65,False,2,10,20,0.6,0.4,0.95,0.05
-22.058968944300037,-5.827552625272093,-35.526764634497745,-0.5712987224837566,-0.164032742221996,63.38461538461539,493,30,0.07,0.08,0.25,0.08,0.1,0.18,80,65,False,5,10,20,0.6,0.4,0.95,0.05
-22.05969554832004,-5.827764138374336,-35.11722470895061,-0.5652572661283474,-0.16595172843738326,59.150326797385624,478,30,0.08,0.1,0.15,0.04,0.12,0.25,85,65,False,3,10,20,0.6,0.4,0.95,0.05
-22.070862603500093,-5.83101503601563,-36.675854060472204,-0.5341078589233806,-0.15898784596539411,56.439393939393945,428,0,0.07,0.08,0.25,0.08,0.15,0.25,85,75,False,5,10,20,0.6,0.4,0.95,0.05
-22.07817714752003,-5.833144601413642,-35.3584594643553,-0.5266982463466299,-0.1649716839981111,54.296875,422,30,0.07,0.1,0.2,0.08,0.12,0.25,90,65,False,5,10,20,0.6,0.4,0.95,0.05
-22.080450057140006,-5.833806370035067,-36.85355223520198,-0.5705151223066058,-0.1582969894680247,59.87460815047022,496,30,0.05,0.08,0.2,0.04,0.1,0.18,85,75,False,2,10,20,0.6,0.4,0.95,0.05
