MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,SELL_COOLDOWN_BARS,STOP_LOSS_PCT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,total_return,max_drawdown,sharpe,trades
5,20,0,0.9,0.25,2,0.2,False,True,47.51887024010001,-12.850857213238829,0.9091774827846771,305
5,30,0,0.7,0.25,2,0.12,False,True,47.40437801091997,-12.231337412646216,0.9603158125393919,184
5,30,0,0.7,0.25,2,0.15,False,True,47.40437801091997,-12.231337412646216,0.9603158125393919,184
5,30,0,0.7,0.25,2,0.2,False,True,47.40437801091997,-12.231337412646216,0.9603158125393919,184
10,30,0,0.8,0.3,2,0.2,False,True,46.93127084453993,-12.698362564329857,0.8652729516655537,143
10,30,0,0.7,0.3,2,0.2,False,True,46.05238675901997,-12.978687934378188,0.8495113873138425,153
10,30,0,0.8,0.3,2,0.15,False,True,45.72258233211995,-12.698362564329857,0.8456742438709208,143
10,30,0,0.8,0.3,3,0.2,False,True,45.68446863099993,-12.698362564329857,0.84387277947785,142
10,30,0,0.8,0.35,2,0.2,False,True,45.591121710519985,-12.433196515211579,0.8353041669649276,132
10,30,0,0.8,0.25,2,0.2,False,True,45.15460963810003,-12.495313554771446,0.827456235500798,149
10,30,0,0.8,0.25,3,0.2,False,True,45.13007701808002,-12.495313554771446,0.8260681488780378,146
5,20,0,0.7,0.25,2,0.12,False,True,44.94489054532,-11.39208167499178,0.8880401274928301,330
10,30,0,0.8,0.3,3,0.15,False,True,44.46574948995993,-12.96975942441394,0.8211482385580579,142
10,30,0,0.8,0.25,2,0.15,False,True,44.32800006994002,-12.495313554771446,0.8141656754215948,151
10,30,0,0.7,0.3,2,0.15,False,True,44.221510909639974,-12.978687934378188,0.8193124050669388,156
5,20,0,0.8,0.3,2,0.2,False,True,44.09760152222007,-11.403753996278645,0.818897897326434,297
5,20,0,0.8,0.3,2,0.15,False,True,44.09760152222007,-11.403753996278645,0.818897897326434,297
10,30,0,0.8,0.35,2,0.15,False,True,43.85192213145997,-12.763480781508,0.807180264581307,132
5,20,0,0.7,0.25,3,0.15,False,True,43.85167294289998,-11.635130479805262,0.8683838076554454,331
5,20,0,0.7,0.25,3,0.2,False,True,43.85167294289998,-11.635130479805262,0.8683838076554454,331
10,30,0,0.8,0.35,3,0.2,False,True,43.36692015671998,-13.057601871191787,0.7945704181182417,130
10,30,0,0.8,0.3,2,0.12,False,True,43.26239419631993,-12.783154753672408,0.8220713452147395,143
10,30,0,0.9,0.35,2,0.2,False,True,43.25107095671994,-14.241399289734339,0.7577393066931973,108
5,30,0,0.7,0.3,3,0.15,False,True,43.200822963179974,-11.586871237095938,0.8579431106240708,169
5,30,0,0.7,0.3,3,0.2,False,True,43.200822963179974,-11.586871237095938,0.8579431106240708,169
5,30,0,0.7,0.3,3,0.12,False,True,43.200822963179974,-11.586871237095938,0.8579431106240708,169
10,30,0,0.8,0.25,3,0.15,False,True,43.124768232240065,-13.135867804150761,0.7916758433653855,148
10,30,0,0.8,0.35,3,0.15,False,True,42.68255420647994,-13.472623808236447,0.7846373971343376,132
10,30,0,0.7,0.3,3,0.2,False,True,42.519235466639955,-12.978687934378188,0.7884381758707425,153
10,30,0,0.7,0.2,2,0.2,False,True,42.46400847208002,-12.309398657151103,0.7913632243220063,171
10,30,0,0.9,0.35,3,0.2,False,True,42.45154963913993,-14.241399289734339,0.7442700132420728,106
10,30,0,0.7,0.25,2,0.2,False,True,42.27416982446001,-12.597026009991161,0.7896700986684047,154
5,20,0,0.7,0.25,3,0.12,False,True,42.089216037359925,-10.947089000473149,0.8356582219952479,334
10,30,0,0.7,0.2,2,0.15,False,True,42.055560893079985,-12.309398657151103,0.7845629472480597,173
10,30,0,0.8,0.3,3,0.12,False,True,42.00291876313994,-12.980252238159554,0.7962415608913422,142
10,30,0,0.7,0.3,3,0.15,False,True,41.986597295779966,-12.978687934378188,0.7798746749271261,155
10,30,0,0.9,0.35,3,0.15,False,True,41.82438046293994,-14.241399289734339,0.7359817024089162,109
