MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,RSI_OVERBOUGHT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate
10,20,0,0.95,0.35,0.12,0.2,0.5,False,True,3,95,92,0.5055800529678001,0.20897314292937308,-0.11454601966991697,0.9331939798826135,149,0.5
10,20,0,0.95,0.35,0.12,0.2,0.5,False,True,3,90,92,0.5055800529678001,0.20897314292937308,-0.11454601966991697,0.9331939798826135,149,0.5
10,20,0,0.9,0.35,0.12,0.2,0.5,False,True,3,90,92,0.5055800529678001,0.20897314292937308,-0.11454601966991697,0.9331939798826135,149,0.5
10,20,0,0.95,0.5,0.12,0.2,0.5,False,True,3,90,92,0.5052854906649993,0.20886343680276687,-0.11928576635175245,0.916135401906737,136,0.5138888888888888
10,20,0,0.95,0.5,0.12,0.2,0.5,False,True,3,95,92,0.5052854906649993,0.20886343680276687,-0.11928576635175245,0.916135401906737,136,0.5138888888888888
10,20,0,0.95,0.5,0.15,0.3,0.5,False,True,3,90,99,0.5033430016782005,0.20813969210805805,-0.15953379099774734,0.8274369949031282,122,0.4666666666666667
10,20,0,0.95,0.5,0.15,0.3,0.5,False,True,3,95,99,0.5033430016782005,0.20813969210805805,-0.15953379099774734,0.8274369949031282,122,0.4666666666666667
10,20,0,0.95,0.5,0.2,0.2,0.5,False,True,3,90,92,0.5018411264605988,0.2075797702478719,-0.11928576635175245,0.9109072458735658,134,0.5070422535211268
10,20,0,0.95,0.5,0.2,0.2,0.5,False,True,3,95,92,0.5018411264605988,0.2075797702478719,-0.11928576635175245,0.9109072458735658,134,0.5070422535211268
10,20,0,0.9,0.5,0.2,0.2,0.5,False,True,3,95,92,0.5017414970699992,0.20754261628296944,-0.11928576635175245,0.9109693061397787,134,0.5070422535211268
10,20,0,0.9,0.5,0.2,0.2,0.5,False,True,3,90,92,0.5017414970699992,0.20754261628296944,-0.11928576635175245,0.9109693061397787,134,0.5070422535211268
10,20,0,0.95,0.5,0.15,0.2,0.5,False,True,3,95,92,0.5010787297747992,0.20729542230699405,-0.11928576635175245,0.9091209058484857,136,0.5138888888888888
10,20,0,0.95,0.5,0.15,0.2,0.5,False,True,3,90,92,0.5010787297747992,0.20729542230699405,-0.11928576635175245,0.9091209058484857,136,0.5138888888888888
10,20,0,0.9,0.5,0.15,0.2,0.5,False,True,3,95,92,0.5009791003841996,0.20725825822434785,-0.11928576635175245,0.9091819813120537,136,0.5138888888888888
10,20,0,0.9,0.5,0.15,0.2,0.5,False,True,3,90,92,0.5009791003841996,0.20725825822434785,-0.11928576635175245,0.9091819813120537,136,0.5138888888888888
10,20,0,0.9,0.35,0.15,0.3,0.5,False,True,3,95,92,0.4943046427115998,0.2047655107015125,-0.13277239067269644,0.9063501968317539,155,0.49382716049382713
10,20,0,0.95,0.35,0.15,0.3,0.5,False,True,3,95,92,0.4943046427115998,0.2047655107015125,-0.13277239067269644,0.9063501968317539,155,0.49382716049382713
10,20,0,0.95,0.35,0.15,0.3,0.5,False,True,3,90,92,0.4943046427115998,0.2047655107015125,-0.13277239067269644,0.9063501968317539,155,0.49382716049382713
10,20,0,0.9,0.35,0.15,0.3,0.5,False,True,3,90,92,0.4943046427115998,0.2047655107015125,-0.13277239067269644,0.9063501968317539,155,0.49382716049382713
10,20,0,0.95,0.35,0.15,0.3,0.5,False,True,3,95,95,0.4933401593486001,0.20440480631414548,-0.11627898626725332,0.9068097877375055,144,0.4657534246575342
10,20,0,0.95,0.35,0.15,0.3,0.5,False,True,3,90,95,0.4933401593486001,0.20440480631414548,-0.11627898626725332,0.9068097877375055,144,0.4657534246575342
10,20,0,0.9,0.35,0.15,0.3,0.5,False,True,3,95,95,0.4933401593486001,0.20440480631414548,-0.11627898626725332,0.9068097877375055,144,0.4657534246575342
10,20,0,0.9,0.35,0.15,0.3,0.5,False,True,3,90,95,0.4933401593486001,0.20440480631414548,-0.11627898626725332,0.9068097877375055,144,0.4657534246575342
10,20,0,0.9,0.35,0.15,0.15,0.5,False,True,3,95,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.95,0.35,0.2,0.15,0.5,False,True,3,90,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.95,0.35,0.15,0.15,0.5,False,True,3,95,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.9,0.35,0.2,0.15,0.5,False,True,3,90,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.95,0.35,0.15,0.15,0.5,False,True,3,90,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.9,0.35,0.15,0.15,0.5,False,True,3,90,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.9,0.35,0.2,0.15,0.5,False,True,3,95,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.95,0.35,0.2,0.15,0.5,False,True,3,95,92,0.49233062401199995,0.20402711923528516,-0.11454601966991697,0.9181198988598133,149,0.5
10,20,0,0.9,0.95,0.2,0.15,0.5,False,True,3,90,92,0.4913432306042006,0.20365758333809558,-0.14099619787036188,0.8267295778802164,140,0.4520547945205479
