VOL_CONFIRM_RATIO,RSI_BUY_MAX,SURGE_MAX_PCT,SELL_COOLDOWN_BARS,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.3,85,0.0,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,85,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.3,80,0.2,3,0.4581587081927999,0.19116097906516538,-0.10883173618893485,0.8958972821935509,173,0.5578947368421052,1458158.7081928
0.5,100,0.2,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,80,0.2,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,80,0.0,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,70,0.3,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,70,0.2,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,75,0.0,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,70,0.0,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,75,0.2,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,75,0.3,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,80,0.3,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,85,0.2,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,100,0.3,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,85,0.0,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,85,0.3,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,100,0.0,2,0.44764341219820036,0.1871693767589575,-0.1282983057346686,0.8839207863870776,180,0.5510204081632653,1447643.4121982004
0.5,100,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.0,100,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.5,85,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.5,85,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.0,100,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.5,80,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.3,80,0.3,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.0,80,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.5,80,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
0.3,80,0.0,5,0.4470504096945997,0.18694381085670586,-0.12040951352459126,0.870865407988757,165,0.5,1447050.4096945997
